id,valor,hora,pais,dispositivo,tentativas,cartao_presente,fraude
376c62a9-e7b6-496b-9982-aa6b2a62d61f,3769.17,12,DE,desktop,3,True,1
b8f0ddbc-19f9-4eab-bbba-5e42916dfebe,3271.52,3,BR,mobile,3,True,1
680348d5-1e53-4156-95a7-ddeaf5a5843a,268.49,12,US,mobile,3,False,0
5cfec788-dad8-4875-b1df-20d8f2ddf3b7,2382.56,13,FR,mobile,4,False,1
ec0bc5bb-68a8-447a-bc69-fd3feef30744,1580.17,21,DE,desktop,1,True,1
d3a23c97-36f1-4ff7-ae76-a0c5f0cd0550,4473.72,6,US,mobile,3,False,1
bf510b43-011b-4365-8aba-809eafa97d12,3365.08,8,DE,mobile,1,True,1
543ba987-be77-468c-891d-3d1d9031e646,298.54,12,DE,mobile,3,True,1
858bcace-0ba8-4eb8-af57-de2f0e41f7a6,2388.09,9,FR,mobile,1,False,1
c7ee6c83-bd58-4a11-ac59-2d55d36e6ba3,842.82,19,DE,mobile,5,False,1
8d50a30f-a2c2-46d6-9a68-bc5ccb0ed631,1651.82,13,FR,desktop,1,False,0
4fff07e3-6da9-4f74-999d-4e3f47a01d2d,2811.09,14,BR,desktop,2,True,1
e1fa2a28-737c-4d4b-be6b-ac1d16069f32,2348.16,22,DE,desktop,4,False,1
5e10ebea-b57c-4e46-a3f4-665d51c5c92f,4154.5,23,FR,desktop,3,False,1
8b5a2017-a671-4ef4-a911-26fce0cd479f,520.22,9,BR,desktop,2,False,0
1185f7d3-1591-4dd3-aabd-29c5ff3a7069,2973.76,3,FR,mobile,5,True,1
8c2837e4-6e30-4a5d-bda3-409cb56f16e3,4677.61,18,BR,mobile,2,False,0
41048dc3-acc3-417b-b660-70929069233d,2867.65,2,BR,desktop,5,False,1
ddd24c4b-1f39-4fb0-bc31-b0be78839064,4082.1,8,DE,desktop,4,False,1
f78be39c-6c6a-4fc2-bf9b-8e5661ee84b0,2958.05,19,BR,mobile,4,False,1
8fbc09f8-bcc9-43b7-adf2-5a0a953fc8d1,2584.38,23,DE,mobile,2,True,1
74fbc7bb-f8a7-4fe5-9c07-8706fd4fcc7d,4391.01,7,FR,desktop,3,False,1
4896c1f5-4b97-4240-a5e3-6d2d79e70e6a,1959.03,15,BR,desktop,2,False,0
618af9b2-7f96-4d40-8cff-0f30d32c1fea,2265.3,4,US,desktop,1,True,1
9d0940df-a5e9-4ff0-8967-560e76f80c96,3224.76,3,FR,mobile,5,False,1
fee9f0fa-70a9-427c-b7c1-878b2c66ee12,4713.55,21,FR,desktop,3,True,1
7c0680ae-744a-4195-846a-4a2b346fcdba,1887.14,21,US,desktop,2,True,1
00045821-b09d-4db9-b8d7-b68dfa016486,2702.88,2,US,mobile,2,False,1
3179bd94-d48a-45f8-9f84-5cd874bb671d,3072.34,6,DE,mobile,4,True,1
e7f85252-72d0-4301-8984-cf78739ad0c2,425.15,20,BR,desktop,1,True,1
229ccef7-42dd-4b3c-a781-763a9546179e,1968.35,6,BR,desktop,5,False,1
adad906d-302c-4955-b737-69ee8b731bc2,2711.3,8,BR,mobile,3,True,1
30975dc2-f87f-4d8b-b612-2922ea0654ba,1330.13,12,US,desktop,1,True,1
00878ac1-ac8c-4084-b784-9c542eb5318d,4355.69,14,DE,mobile,4,True,1
0a9f9fb1-065c-401d-bc89-9a4e6cd668ff,3277.04,9,FR,desktop,4,False,1
697c56b3-fa90-4f7b-b15c-dace2c350604,3679.14,1,DE,mobile,2,False,1
c1260435-f1b5-489c-ae6e-736e8360f945,244.66,16,BR,mobile,5,False,1
1007cc5e-f54b-446b-8961-4e88a74f13d8,3592.67,14,US,mobile,3,False,1
dfaaf0eb-edec-48ca-adf9-02946d2dbe49,4206.46,20,DE,mobile,2,True,1
79d91d6e-5a85-4742-b19f-1db6e87bf74c,4977.08,18,BR,mobile,2,False,0
ab93b94d-3b10-4fe4-bd40-34c0e2739003,3962.08,8,DE,mobile,4,False,1
2b787f67-bc4c-4aa3-aa68-77dfcc237ce5,4302.94,11,DE,mobile,1,False,1
418fb902-a953-4a64-8dc9-a344ed4447ef,118.61,14,BR,desktop,2,True,1
2cc67a26-6c40-4293-972a-8a307ddbc8cd,2774.38,17,FR,mobile,2,True,1
